"Story","Title","Result","Date","Stability","Duration (s)"
"Login swaglabs","Buy Item","SUCCESS","2023-05-12T16:00:38.222951-05:00[America/Bogota]","0.0","17.34"
"Login swaglabs","Login on with invalid credentials","SUCCESS","2023-05-12T16:00:57.449734-05:00[America/Bogota]","0.0","16.0"
