"Story","Title","Result","Date","Stability","Duration (s)"
"Login swaglabs","Buy Item","ERROR","2023-05-12T15:58:40.033865-05:00[America/Bogota]","0.0","4.55"
"Login swaglabs","Login on with invalid credentials","ERROR","2023-05-12T15:58:45.826462-05:00[America/Bogota]","0.0","2.3"
